1460607403:   
3096626743:  !
2931571342: 27
2264072354: 28
535638384: 29
2232160137: 2:
1104970348: 2;
1642362844: 2<
3108856928: 2=
85713866: 2>
912429062: 2?
3327528519: 2@
4027655435: 2A
3926677480: 2B
3070843581: 2C
1364444456: 2D
3782502324: 2E
2229710720: 2F
1094047980: 2G
32614122: 2H
1996562360: 2I
3006082190: 2J
906572678: 2K
726456013: 2L
2590636949: 2M
4092875710: 2N
275074545: 2O
2808300389: 2P
3612045222: 2Q
1501530351: 2R
89798070: 2S
837631777: 2T
3071599250: 2U
3352473443: 2V
318434833: 2W
1887012481: 2X
2448963213: 2Y
2083327830: 2Z
2970057471: 2[
1848540922: 2\
3706272463: 2]
1157706227: 2^
2992657481: 2_
1222653044: 2`
1191321380: 2a
1005559100: 2b
643023704: 2c
1246329456: 2d
1400427862: 2e
346207828: 2f
2159651505: 2g
2887798304: 2h
2871935437: 2i
760497826: 2j
3606877975: 2k
1746357159: 2l
3099064992: 2m
625960619: 2n
1680825427: 2o
1911787062: 2p
2417294617: 2q
3724911984: 2r
2075206488: 2s
4142814726: 2t
1539183441: 2u
2892910978: 2v
2716801924: 2w
10841962: 2x
3493718367: 2y
1056631968: 2z
3947629390: 2{
4034512583: 2|
261902673: 2}
2528648230: 2~
1246552684: 2
1927709639: 3 
1348458389: 3!
1012947663: 3"
3460929560: 3#
938161614: 3$
4048434748: 3%
1449334945: 3&
3215112306: 3'
50595070: 3(
438838282: 3)
1439258347: 3*
2377806109: 3+
4193516295: 3,
278047908: 3-
3472200390: 3.
482964167: 3/
3904896235: 30
1886540991: 31
3235226242: 32
2089311684: 33
264550601: 34
1995566168: 35
2449747623: 36
696482237: 37
714390843: 38
1695647339: 39
431993254: 3:
1971483839: 3;
1759608236: 3<
3846987290: 3=
1551706712: 3>
32552656: 3?
3218245009: 3@
2756039390: 3A
2320818664: 3B
3449194315: 3C
2277972884: 3D
1918240181: 3E
2157660423: 3F
3067065029: 3G
1413137114: 3H
2496289004: 3I
3571942794: 3J
2750441338: 3K
3351132416: 3L
3348196569: 3M
2542497898: 3N
2836005852: 3O
927936234: 3P
102379582: 3Q
3421067826: 3R
3449745047: 3S
1641601799: 3T
3554347260: 3U
548539896: 3V
1634204562: 3W
4194801515: 3X
2566858567: 3Y
1299025664: 3Z
1837887189: 3[
3755477819: 3\
871067334: 3]
2935449430: 3^
367956376: 3_
2260009715: 3`
1171953287: 3a
2139645702: 3b
163775577: 3c
2930769491: 3d
1366595906: 3e
913537713: 3f
582689: 3g
2855315467: 3h
1539334772: 3i
2857685602: 3j
2731630023: 3k
2944828798: 3l
736851554: 3m
3364255027: 3n
438569511: 3o
1026497017: 3p
1118489621: 3q
3412808956: 3r
3442421191: 3s
3346524243: 3t
2077558083: 3u
1890580979: 3v
4151017880: 3w
715196656: 3x
593899463: 3y
3051404097: 3z
1809426618: 3{
1971148462: 3|
3304388701: 3}
3272910474: 3~
2444590729: 3
3252029457: 4 
491371538: 4!
1864092807: 4"
3730236962: 4#
3571168417: 4$
2650577653: 4%
2472215016: 4&
3952614844: 4'
2006497351: 4(
1241425252: 4)
391454610: 4*
952542599: 4+
3196877449: 4,
472390338: 4-
481894802: 4.
2036031975: 4/
776770223: 40
4184313417: 41
1014695889: 42
1797189374: 43
2846389062: 44
143503340: 45
3468292482: 46
1339851851: 47
2337296469: 48
2456533651: 49
2561563302: 4:
4194577358: 4;
447475430: 4<
4174243754: 4=
3588147854: 4>
1237059114: 4?
902410935: 4@
2701054696: 4A
4217162993: 4B
1685754088: 4C
1071117558: 4D
2986023042: 4E
1772510817: 4F
2562011736: 4G
4038644423: 4H
616840322: 4I
679133665: 4J
2585481415: 4K
735295333: 4L
165986933: 4M
1929450433: 4N
2698419410: 4O
1205763011: 4P
367439663: 4Q
3388803344: 4R
3047275087: 4S
2277808700: 4T
2002040528: 4U
918440952: 4V
325832047: 4W
2319477763: 4X
4143214475: 4Y
3216282677: 4Z
3779359842: 4[
1623724981: 4\
2047932094: 4]
1792775094: 4^
12833839: 4_
2656297916: 4`
1127809177: 4a
1317729745: 4b
1912688746: 4c
3496949685: 4d
818670358: 4e
3050820071: 4f
2815960165: 4g
2239902546: 4h
4283369655: 4i
1024943172: 4j
2878364611: 4k
3580626953: 4l
3004398825: 4m
2086393147: 4n
4238375560: 4o
1406855238: 4p
376865068: 4q
845588459: 4r
2826027153: 4s
2662025053: 4t
3336752373: 4u
4260267117: 4v
427327450: 4w
663172772: 4x
2397381529: 4y
3039008006: 4z
2883235513: 4{
3653096921: 4|
2418025806: 4}
487098093: 4~
4170183590: 4
1531639596: 5 
721157338: 5!
3509993256: 5"
2792203236: 5#
2223561657: 5$
1649665746: 5%
413670086: 5&
3319676310: 5'
363056810: 5(
996386682: 5)
1874631444: 5*
269112019: 5+
2088955551: 5,
2277684202: 5-
3180391013: 5.
800915290: 5/
3888269044: 50
3328420781: 51
835880686: 52
3001459351: 53
859382814: 54
2354817254: 55
880143460: 56
4148682813: 57
1055068866: 58
2378284508: 59
3459897109: 5:
3878461514: 5;
3331770363: 5<
240140454: 5=
3027603945: 5>
2683653841: 5?
3752148503: 5@
1701472060: 5A
1050505936: 5B
2458683218: 5C
2677733812: 5D
1353939294: 5E
3366381166: 5F
1655740131: 5G
3304383407: 5H
1008085491: 5I
3400311170: 5J
3225969370: 5K
1510775345: 5L
1153670874: 5M
2450034655: 5N
2605009476: 5O
2733579605: 5P
1713215202: 5Q
3765513239: 5R
623799173: 5S
1569553026: 5T
3526470910: 5U
3211149704: 5V
2538770535: 5W
174880335: 5X
2856731422: 5Y
2044740109: 5Z
3328812919: 5[
3983360542: 5\
2993623737: 5]
223063167: 5^
753766333: 5_
2135080751: 5`
3672868666: 5a
3544606514: 5b
4228262988: 5c
73003202: 5d
3051000142: 5e
771586652: 5f
2353127928: 5g
1915420169: 5h
2317484172: 5i
527945750: 5j
2422159838: 5k
3680102295: 5l
1307217731: 5m
3802577898: 5n
2235964970: 5o
1288837069: 5p
4138058712: 5q
4228036510: 5r
2449833914: 5s
1156401044: 5t
956861392: 5u
1779498243: 5v
4064876393: 5w
2009835420: 5x
3784016729: 5y
182256478: 5z
2947673174: 5{
1021577895: 5|
3635374105: 5}
3854359609: 5~
2368589900: 5
3983012604: 6 
3284305264: 6!
1351746474: 6"
1228822291: 6#
3247341676: 6$
3688869662: 6%
3022238616: 6&
1707995034: 6'
74730855: 6(
350147574: 6)
2120164568: 6*
3855338436: 6+
2690034263: 6,
3119689747: 6-
3677738705: 6.
2899942221: 6/
1678011089: 60
3389152510: 61
2575398073: 62
2292224325: 63
3371229088: 64
2121632887: 65
1610569336: 66
71333731: 67
4075100845: 68
3019275121: 69
3951596992: 6:
2265961885: 6;
2839204883: 6<
1231537741: 6=
423537825: 6>
1020468764: 6?
2450093674: 6@
1742569661: 6A
653545186: 6B
41676574: 6C
1514253091: 6D
376736420: 6E
2134642359: 6F
2749648839: 6G
1518597078: 6H
1446587453: 6I
121766376: 6J
547820758: 6K
3601106029: 6L
1279936422: 6M
3860262890: 6N
3164040683: 6O
3936664277: 6P
2168449730: 6Q
2065886666: 6R
3079724119: 6S
3030800622: 6T
3155575427: 6U
1785793609: 6V
450454288: 6W
516954018: 6X
299835449: 6Y
87326582: 6Z
2838257870: 6[
432214216: 6\
2333994418: 6]
2537365809: 6^
444687901: 6_
4063528308: 6`
914647654: 6a
3735722123: 6b
3970789973: 6c
107932675: 6d
449782366: 6e
2188976866: 6f
211617868: 6g
182118767: 6h
3491358046: 6i
1853843420: 6j
3309557797: 6k
1544209402: 6l
802570254: 6m
1340891759: 6n
1284102174: 6o
3519278211: 6p
3532266038: 6q
271122821: 6r
2053133449: 6s
454232016: 6t
1912515095: 6u
3291220675: 6v
1972919927: 6w
1788221579: 6x
3214597143: 6y
2220681660: 6z
798386135: 6{
4245142933: 6|
466227787: 6}
908181001: 6~
1285971267: 6
3877707301: 7 
3283372411: 7!
1866524653: 7"
106261554: 7#
1023534909: 7$
420481649: 7%
3203480485: 7&
929161445: 7'
1989531208: 7(
1268432143: 7)
2729202448: 7*
1843062851: 7+
214727072: 7,
3040916939: 7-
2647317022: 7.
1544383987: 7/
2503811882: 70
732075070: 71
3747226332: 72
2739345599: 73
2967351300: 74
3421447647: 75
1218504379: 76
1536252148: 77
773981245: 78
2605344836: 79
829733934: 7:
3143534294: 7;
2047959063: 7<
1349243055: 7=
2939928813: 7>
3915544875: 7?
1184411405: 7@
3986282813: 7A
1556962158: 7B
3372838047: 7C
2120230628: 7D
713329784: 7E
4202353758: 7F
3935069987: 7G
3955545159: 7H
2358410753: 7I
3749582556: 7J
2511880086: 7K
3686294028: 7L
2337887707: 7M
1671783164: 7N
2482755953: 7O
1258459973: 7P
3750275732: 7Q
4056895657: 7R
117921073: 7S
1173836974: 7T
1435568790: 7U
4009097072: 7V
1611211738: 7W
807930990: 7X
2449852541: 7Y
1171727912: 7Z
2421465004: 7[
1693337987: 7\
2293174123: 7]
2071620194: 7^
2682476812: 7_
1264465859: 7`
2232242351: 7a
4223635822: 7b
1939378844: 7c
175138263: 7d
339750691: 7e
1599041839: 7f
4044254176: 7g
3686662250: 7h
3203076807: 7i
4280680192: 7j
1865739666: 7k
1388720253: 7l
169383097: 7m
3186858693: 7n
2913835928: 7o
2764484094: 7p
3107128314: 7q
3599670792: 7r
3549819470: 7s
1464528599: 7t
4294018492: 7u
3185645958: 7v
1850615038: 7w
3685873316: 7x
1450927967: 7y
1121803856: 7z
3504028042: 7{
3603322299: 7|
713710526: 7}
461989543: 7~
233398594: 7
1927432819: 8 
3136885528: 8!
1265726917: 8"
2006772704: 8#
1922434651: 8$
3190496973: 8%
1083857161: 8&
431952374: 8'
3792687443: 8(
3435281894: 8)
819551154: 8*
2119990650: 8+
3346345811: 8,
1630774071: 8-
1606300652: 8.
1404882158: 8/
2600702632: 80
2193011245: 81
840661717: 82
2170158880: 83
2794230884: 84
1362821369: 85
2276972422: 86
109710164: 87
3086254471: 88
1836619547: 89
3264523496: 8:
2757295316: 8;
86965225: 8<
3893147565: 8=
349208591: 8>
3245556045: 8?
829491481: 8@
3792182302: 8A
1139159058: 8B
3933453166: 8C
4090363495: 8D
898400527: 8E
2825901979: 8F
354927355: 8G
117526158: 8H
2977196227: 8I
4170333617: 8J
2373970815: 8K
281612084: 8L
173660427: 8M
2990452577: 8N
3340312416: 8O
3670954354: 8P
3923407367: 8Q
4172152832: 8R
502627123: 8S
2663466079: 8T
3242424956: 8U
1122279558: 8V
3867819697: 8W
755795181: 8X
3099880464: 8Y
2237880957: 8Z
3118987591: 8[
206514439: 8\
4051451595: 8]
1080932449: 8^
112520929: 8_
218156385: 8`
1360727127: 8a
588224222: 8b
2634310245: 8c
3542708124: 8d
3703661681: 8e
2232192069: 8f
3726614758: 8g
2806496501: 8h
3823472271: 8i
1426730577: 8j
3703352545: 8k
4254981453: 8l
3103560333: 8m
649668078: 8n
3119259675: 8o
2054794644: 8p
1619985213: 8q
1135439654: 8r
791954890: 8s
3558561725: 8t
372563850: 8u
3633172953: 8v
17706529: 8w
1470437951: 8x
570313752: 8y
3505380831: 8z
617202336: 8{
411691585: 8|
1754074685: 8}
3105896510: 8~
3884974047: 8
107155747: 9 
3480214218: 9!
181745820: 9"
3500469062: 9#
3730381887: 9$
2738540531: 9%
2807862962: 9&
3553765999: 9'
3506915034: 9(
4263146880: 9)
1883423251: 9*
404881714: 9+
124102082: 9,
1739123067: 9-
4061391755: 9.
2461437274: 9/
3234454106: 90
2601913560: 91
3816524317: 92
1563622782: 93
1924973489: 94
1690076060: 95
3156232920: 96
2534025400: 97
1644047163: 98
3409751928: 99
4212332030: 9:
3303421790: 9;
2205929327: 9<
2877344949: 9=
1606087152: 9>
2442518400: 9?
764216303: 9@
4180721937: 9A
3342823194: 9B
1816262972: 9C
3852170208: 9D
2818978413: 9E
3247401337: 9F
3672105157: 9G
2357288786: 9H
3938192024: 9I
3692572673: 9J
890724463: 9K
2248017965: 9L
3972876923: 9M
4175942362: 9N
722451054: 9O
556897014: 9P
1605094330: 9Q
3794213939: 9R
3925306172: 9S
3230123279: 9T
1401829155: 9U
3483015817: 9V
4245081578: 9W
3613613451: 9X
3483653286: 9Y
1965405717: 9Z
3195148170: 9[
1199060401: 9\
2718401001: 9]
736631733: 9^
1402489609: 9_
4244299202: 9`
215677543: 9a
3431036576: 9b
1126313735: 9c
1713410926: 9d
2480959156: 9e
2451800761: 9f
3956166072: 9g
802502194: 9h
3151694055: 9i
2665519871: 9j
342787999: 9k
906825986: 9l
152136864: 9m
3496704346: 9n
107412215: 9o
3225459978: 9p
2409878729: 9q
3351969607: 9r
1150888639: 9s
271477547: 9t
1631438954: 9u
3538540994: 9v
340811720: 9w
2911453114: 9x
1732969722: 9y
1373853325: 9z
1351896991: 9{
2895693106: 9|
2757922576: 9}
3018168837: 9~
2956523078: 9
3520788101: : 
4097469225: :!
1721446504: :"
4138778053: :#
1350230630: :$
3772470698: :%
2994599595: :&
3859925739: :'
2907595: :(
862792823: :)
3178045435: :*
955057085: :+
3417142090: :,
1857275649: :-
413063043: :.
2539130404: :/
2486236228: :0
2205800462: :1
1396817897: :2
2565903081: :3
1245089094: :4
2294544277: :5
2535735195: :6
3938345278: :7
107381830: :8
3912072517: :9
420138687: ::
1573774349: :;
1792508724: :<
2876067474: :=
950080375: :>
1284876126: :?
1978478152: :@
2876997374: :A
2136896060: :B
1649879037: :C
327438600: :D
1928685424: :E
4208915614: :F
3573946194: :G
2547273480: :H
3331782672: :I
2240015075: :J
4022804137: :K
3372750072: :L
3579674216: :M
1760849358: :N
3733060742: :O
3136236993: :P
2513379910: :Q
1668607348: :R
3734851970: :S
3062884905: :T
1746959105: :U
510019387: :V
1410945187: :W
3566309154: :X
1310313811: :Y
3283463652: :Z
79651272: :[
3135289677: :\
2608190317: :]
1947233749: :^
1084702822: :_
1746345715: :`
1718430923: :a
3105219523: :b
1543944446: :c
2883612398: :d
3915591080: :e
3213112362: :f
231177645: :g
3450154088: :h
1614275101: :i
4119475399: :j
2246955243: :k
2174924367: :l
4112773948: :m
3520889993: :n
2391180415: :o
2321430609: :p
896353976: :q
2802346093: :r
1764747958: :s
1052906588: :t
480344892: :u
1560713812: :v
342599942: :w
663194939: :x
2300646785: :y
856073690: :z
2016019621: :{
1182094312: :|
1743305802: :}
1083949001: :~
4151026564: :
188461524: ; 
3049204915: ;!
2409804315: ;"
4289735152: ;#
3364456394: ;$
2645142505: ;%
2598980472: ;&
5931119: ;'
223950353: ;(
3534662971: ;)
1081124003: ;*
1848949938: ;+
4163188682: ;,
2002611807: ;-
2532499545: ;.
2971126656: ;/
2924519845: ;0
617542620: ;1
3793752750: ;2
1205401176: ;3
4150047224: ;4
1430192137: ;5
3096372763: ;6
3627585892: ;7
388762563: ;8
832354661: ;9
2727328216: ;:
2623487855: ;;
888432904: ;<
1786315724: ;=
4146040352: ;>
3704446398: ;?
671782512: ;@
557339667: ;A
117513188: ;B
157229720: ;C
3315270348: ;D
2286582789: ;E
3327803176: ;F
4113440907: ;G
2899125253: ;H
2853829511: ;I
4083103958: ;J
1345929862: ;K
1335035907: ;L
4026108006: ;M
511178472: ;N
401660137: ;O
337690422: ;P
2949010251: ;Q
1542052838: ;R
3739830210: ;S
1033745757: ;T
1850269050: ;U
262237194: ;V
3220204601: ;W
3886173886: ;X
2810231878: ;Y
1091810023: ;Z
2179615710: ;[
371134154: ;\
2988337153: ;]
1372295267: ;^
2022804659: ;_
1822712469: ;`
597219149: ;a
3783039238: ;b
3050778214: ;c
603938762: ;d
1014676424: ;e
165597207: ;f
229399102: ;g
778756382: ;h
824344521: ;i
3110358145: ;j
3461483303: ;k
2597800974: ;l
2363413051: ;m
3347862994: ;n
1141723292: ;o
3809353097: ;p
759365923: ;q
943226780: ;r
605164676: ;s
38152345: ;t
3516333718: ;u
904663233: ;v
21978483: ;w
413864120: ;x
2660689778: ;y
1296322734: ;z
2313002757: ;{
3962288739: ;|
3013159379: ;}
3352484721: ;~
2465919746: ;
710501274: < 
1904911832: <!
4000537681: <"
239740641: <#
3798355587: <$
1943087341: <%
1608079983: <&
2328035626: <'
2232755230: <(
3674373062: <)
2771678720: <*
343315869: <+
3037221680: <,
515079581: <-
3266926933: <.
1857907387: </
936010608: <0
3680747485: <1
1477414054: <2
3998664272: <3
1411014487: <4
4179451694: <5
360142159: <6
4163062481: <7
1520841366: <8
3067278843: <9
3339775964: <:
3785374946: <;
1320992895: <<
2084669113: <=
2730755263: <>
2777651901: <?
3087639833: <@
551652484: <A
1829743597: <B
192294114: <C
121702325: <D
4276217363: <E
1760453484: <F
4030097198: <G
465001620: <H
3213043943: <I
1502345220: <J
686387307: <K
1888614616: <L
2926275155: <M
3007132089: <N
1184079891: <O
3453048171: <P
513666746: <Q
3917318700: <R
2523465637: <S
493644726: <T
1095027269: <U
3193501015: <V
1640740748: <W
3381398417: <X
829778863: <Y
849319695: <Z
1847002378: <[
1099085985: <\
3120884209: <]
144702455: <^
4246359664: <_
2843782698: <`
4055197187: <a
3998463884: <b
1937265142: <c
4156688332: <d
1294838294: <e
164428215: <f
3363159146: <g
1398469574: <h
3863404470: <i
3693009692: <j
3379908782: <k
655534658: <l
2373493801: <m
1748597286: <n
1552196070: <o
2816880190: <p
3572082926: <q
2747204722: <r
2580280042: <s
3911716960: <t
1599808763: <u
4034461121: <v
2126150386: <w
2774088533: <x
2769829890: <y
1438186374: <z
2989669096: <{
2325755222: <|
678217876: <}
2091417542: <~
3678381825: <
2970241194: = 
2699265249: =!
3251714651: ="
4013552178: =#
3350376581: =$
1458222825: =%
3698702084: =&
3583877710: ='
1711674275: =(
676016979: =)
4292101748: =*
2650574132: =+
3718902622: =,
692544161: =-
3946631612: =.
3811925009: =/
3175437364: =0
3155711762: =1
12708253: =2
4015937822: =3
982250531: =4
125304727: =5
1983027622: =6
3879341073: =7
1847045778: =8
173156125: =9
872763340: =:
1879344968: =;
1308755329: =<
2543575050: ==
3206776052: =>
3197288245: =?
3776263503: =@
2365413321: =A
3072203688: =B
3943914101: =C
2272659491: =D
852113522: =E
126300152: =F
1531564058: =G
3572141141: =H
1871496184: =I
3316165487: =J
1668700840: =K
3070806906: =L
1477585120: =M
151214947: =N
2901268291: =O
106047571: =P
2753884852: =Q
2538203886: =R
597577643: =S
1504554037: =T
3612437583: =U
2867651734: =V
296160034: =W
26819596: =X
1697496191: =Y
2033983180: =Z
3060869646: =[
3695399372: =\
3332850756: =]
715020691: =^
3788386388: =_
445361423: =`
2714809071: =a
3280906408: =b
2639765599: =c
2920345871: =d
3075081043: =e
2719276682: =f
3021724041: =g
1828628160: =h
4204184985: =i
2412908024: =j
2944133681: =k
88924479: =l
1045883851: =m
248343018: =n
428195782: =o
1712524393: =p
2374444886: =q
2531435319: =r
1751145844: =s
1712899363: =t
738140310: =u
4010081805: =v
2761385043: =w
504997482: =x
3121786190: =y
124130799: =z
1370263115: ={
748982632: =|
2720018148: =}
2938699970: =~
996907254: =
2095048988: > 
1906604118: >!
536658677: >"
2450535636: >#
2209351100: >$
2287045008: >%
187319938: >&
2961893332: >'
4089909157: >(
3166835642: >)
3916434784: >*
196804332: >+
811235248: >,
4251041148: >-
187219285: >.
2349626325: >/
3009034267: >0
1033906554: >1
2685729927: >2
2905784763: >3
2023120046: >4
3268586036: >5
1693301050: >6
182205937: >7
2241731274: >8
4058372051: >9
3817734861: >:
4226300989: >;
566560037: ><
907599847: >=
910412346: >>
2927549394: >?
2626467350: >@
2640367954: >A
2231104554: >B
4023149294: >C
433399078: >D
3929532226: >E
4092534773: >F
2622411891: >G
3701424306: >H
3600908384: >I
831914603: >J
2695696271: >K
1796157483: >L
1946781211: >M
3023810625: >N
3052450195: >O
3890012790: >P
3882509577: >Q
735068144: >R
1665484924: >S
768950161: >T
1336529505: >U
3104947089: >V
907612418: >W
1348471645: >X
746576772: >Y
3791342404: >Z
2417691642: >[
3873735079: >\
2768630972: >]
3185185559: >^
231631921: >_
4175821413: >`
2669135390: >a
2407226590: >b
1959421391: >c
4173974701: >d
3544372598: >e
3183747752: >f
1906014471: >g
2460774033: >h
1982981393: >i
533433982: >j
272688416: >k
1162510812: >l
1486160145: >m
660795006: >n
3760473323: >o
831978579: >p
2404429303: >q
1169435637: >r
1754948145: >s
2374690188: >t
112551737: >u
3965122340: >v
2838206120: >w
3153571928: >x
75706661: >y
367181236: >z
1375612788: >{
3865938574: >|
1733030386: >}
3597999954: >~
3685390812: >
3387373704: ? 
332219505: ?!
169729206: ?"
2940791042: ?#
2582948749: ?$
1515511767: ?%
1083134747: ?&
487403979: ?'
200198997: ?(
412136358: ?)
3229167487: ?*
3299821738: ?+
3980566571: ?,
581483516: ?-
2272592715: ?.
1475837727: ?/
4269305373: ?0
4064053347: ?1
364617659: ?2
2347128929: ?3
3394483599: ?4
3659288282: ?5
3484885191: ?6
3832320137: ?7
2633627525: ?8
2862575643: ?9
297593570: ?:
3893522650: ?;
24363510: ?<
2774321965: ?=
568893772: ?>
667041947: ??
3931774665: ?@
1307525463: ?A
2717504848: ?B
3500609483: ?C
476000284: ?D
3984932225: ?E
3830973962: ?F
2117745972: ?G
275681094: ?H
902612189: ?I
2758066873: ?J
2694946162: ?K
2628347651: ?L
530458862: ?M
3434614684: ?N
297821447: ?O
2164449119: ?P
2038755995: ?Q
956040224: ?R
2315247239: ?S
2476447276: ?T
3451330506: ?U
790919062: ?V
3022765263: ?W
528652923: ?X
1183517090: ?Y
847288715: ?Z
4235357355: ?[
1344183374: ?\
92436438: ?]
1876893317: ?^
4097404589: ?_
1636888545: ?`
3072798556: ?a
3591911198: ?b
885306263: ?c
2198231596: ?d
4142259880: ?e
2043209400: ?f
3631984290: ?g
2186395618: ?h
3121795240: ?i
4208359722: ?j
3920279327: ?k
2861690937: ?l
3282505200: ?m
4070743731: ?n
1105289400: ?o
1930808160: ?p
862242078: ?q
1012364548: ?r
1351188454: ?s
3900785490: ?t
701425480: ?u
2176636983: ?v
3895269798: ?w
3670156615: ?x
1514074468: ?y
2323762356: ?z
206108947: ?{
1043885473: ?|
2763135801: ?}
2028656427: ?~
156283738: ?
58606977: @ 
2827777641: @!
1213184150: @"
2649944581: @#
2518086170: @$
3937591826: @%
538732098: @&
89617777: @'
497836064: @(
2718320716: @)
4034408397: @*
2271804858: @+
2930859759: @,
3736596601: @-
3094527385: @.
3948514473: @/
3896310587: @0
1484667971: @1
1465459697: @2
391852202: @3
2448121801: @4
2479013311: @5
3792576624: @6
2523863590: @7
1743090005: @8
3020823211: @9
2431869941: @:
1376446502: @;
2341688030: @<
2917079578: @=
3967049188: @>
939504242: @?
3565388396: @@
3619394661: @A
183510959: @B
15745702: @C
2245567484: @D
3346160293: @E
1933747886: @F
1915801095: @G
4292102185: @H
1618212653: @I
3931823475: @J
2865760932: @K
611309146: @L
2738885933: @M
3601311090: @N
978011612: @O
1235163661: @P
2784158756: @Q
3624889056: @R
4202030433: @S
1071416864: @T
2532832759: @U
3749741813: @V
2027252306: @W
828679294: @X
3063617022: @Y
2075609019: @Z
2514062004: @[
3459834393: @\
2875592891: @]
3366386536: @^
1237547803: @_
1956102304: @`
2001109434: @a
3787181068: @b
24284921: @c
3881034902: @d
488999106: @e
3302699584: @f
2083407341: @g
3098756325: @h
4204775645: @i
83885978: @j
2145016073: @k
1956212573: @l
3625537195: @m
1357615051: @n
3984689153: @o
2725954762: @p
1310322810: @q
70990130: @r
873743985: @s
1462736479: @t
3581728225: @u
4258059776: @v
597812616: @w
436003657: @x
361660899: @y
1769940641: @z
3924708643: @{
1732611058: @|
1520963904: @}
799992517: @~
1464040532: @
705440399: A 
1827681211: A!
569784518: A"
4176473985: A#
4068710963: A$
3388272186: A%
4174802866: A&
1897602960: A'
71961436: A(
2927957027: A)
20682618: A*
202786515: A+
369311109: A,
2344920206: A-
3632525594: A.
905717577: A/
603910350: A0
1671780109: A1
3669800212: A2
177285438: A3
3635897531: A4
2853186853: A5
730780749: A6
1393888121: A7
3144837662: A8
683294409: A9
3626267399: A:
3545090836: A;
368689924: A<
1524945708: A=
1030677002: A>
2112227533: A?
2922229932: A@
1113131658: AA
2168148900: AB
2170526841: AC
1015739059: AD
1459742254: AE
1446059410: AF
3197629559: AG
633458638: AH
1908778103: AI
1885624521: AJ
258074251: AK
1006994234: AL
3411315508: AM
2999683480: AN
3109957450: AO
1404431620: AP
3299476571: AQ
1766006243: AR
1613384710: AS
1153682719: AT
2334313939: AU
765478982: AV
2477683014: AW
210397468: AX
2372839525: AY
1376927474: AZ
1771145009: A[
155419103: A\
403994263: A]
769245842: A^
360395302: A_
3535237754: A`
3813785284: Aa
2522060946: Ab
1862883096: Ac
681655466: Ad
419830432: Ae
3443852552: Af
841507045: Ag
2244916895: Ah
1434920985: Ai
2677611587: Aj
1556632217: Ak
670902430: Al
1755903771: Am
9186996: An
3456661731: Ao
3652186124: Ap
2671758899: Aq
1638488234: Ar
1251075406: As
1636141603: At
2532360879: Au
285773371: Av
569973347: Aw
2848712169: Ax
2657926001: Ay
2443619176: Az
1120389981: A{
1196889448: A|
1662602731: A}
2127439550: A~
3608086513: A
1319346152: B 
1328173831: B!
194575387: B"
3580297853: B#
886807481: B$
2953377126: B%
3249352753: B&
3622494066: B'
2192903941: B(
2681266767: B)
2118606310: B*
1603303227: B+
3049508855: B,
786557508: B-
126452172: B.
3033145299: B/
3881091064: B0
2999744047: B1
2005957111: B2
3151792657: B3
3913739515: B4
565497840: B5
1252234894: B6
392575622: B7
1755989140: B8
3076197066: B9
2545446761: B:
552772938: B;
4057004768: B<
3020519420: B=
3914161322: B>
637386703: B?
3101580373: B@
218683610: BA
2577309483: BB
2870608649: BC
1527802941: BD
3959537329: BE
3263250237: BF
4157999003: BG
689465731: BH
304968107: BI
2997168686: BJ
2217534948: BK
2285281865: BL
3569229698: BM
1487670316: BN
2489180935: BO
4142710829: BP
3980103763: BQ
3622138492: BR
3661884392: BS
2604307069: BT
1400691209: BU
1960709673: BV
1424938623: BW
559765549: BX
2506714336: BY
171089920: BZ
711302619: B[
1466346902: B\
3335960258: B]
2153429654: B^
2143943297: B_
4123590360: B`
2964757008: Ba
2623085694: Bb
29777107: Bc
3561750651: Bd
3179145279: Be
1373641419: Bf
2224005873: Bg
1393576565: Bh
3221240077: Bi
1882718138: Bj
4253492034: Bk
1095146185: Bl
1725903675: Bm
2868815777: Bn
1838711920: Bo
3028195738: Bp
2607480263: Bq
3343872913: Br
534176687: Bs
3908277737: Bt
4167484724: Bu
3311854514: Bv
4101935914: Bw
2303624877: Bx
3317077194: By
1912501610: Bz
1506293713: B{
187945589: B|
623204791: B}
3675129922: B~
977352993: B
275798808: C 
2915735617: C!
3911698802: C"
2491105464: C#
2723527651: C$
2115057374: C%
3029869473: C&
4088726866: C'
1454554108: C(
637585979: C)
2100557295: C*
1771015448: C+
3984509521: C,
1082750485: C-
3385802280: C.
1685735037: C/
2007812828: C0
547121620: C1
2605691624: C2
1097576786: C3
4052515928: C4
1114696415: C5
2765382373: C6
1072042572: C7
4012706563: C8
1923285618: C9
2371307531: C:
1396083029: C;
1659998818: C<
628371136: C=
107586732: C>
1671571168: C?
1644795019: C@
2907486353: CA
1699357541: CB
939335311: CC
2133512537: CD
2046867141: CE
1829086272: CF
4247599530: CG
48692312: CH
401676447: CI
3034985174: CJ
307814918: CK
2898871787: CL
2522820989: CM
165037686: CN
3384358543: CO
1016673472: CP
2785914853: CQ
3528013573: CR
1893890180: CS
860158543: CT
349026728: CU
81099939: CV
3068757812: CW
491689906: CX
2630288455: CY
2759965147: CZ
2919168176: C[
980096734: C\
2772280629: C]
2041317383: C^
3978676209: C_
927187031: C`
2158391872: Ca
1951824961: Cb
2965398705: Cc
3986306590: Cd
